sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Bouquet ""Tulip""-red-25 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Red Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",500.000000,,,,bouquet-red-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/r/e/red_tulip_1_3.png,,/r/e/red_tulip_1_3.png,,/r/e/red_tulip_1_3.png,,/r/e/red_tulip_1_3.png,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=25 flowers,color=red",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/e/red_tulip_1_3.png,,,,,,,,,,,,,,
"Bouquet ""Tulip""-pink-9 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Pink Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",180.000000,,,,bouquet-pink-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/p/i/pink_tulip_1_1.png,,/p/i/pink_tulip_1_1.png,,/p/i/pink_tulip_1_1.png,,/p/i/pink_tulip_1_1.png,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=9 flowers,color=pink",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/i/pink_tulip_1_1.png,,,,,,,,,,,,,,
"Bouquet ""Tulip""-pink-15 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Pink Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",300.000000,,,,bouquet-pink-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/p/i/pink_tulip_1_2.png,,/p/i/pink_tulip_1_2.png,,/p/i/pink_tulip_1_2.png,,/p/i/pink_tulip_1_2.png,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=15 flowers,color=pink",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/i/pink_tulip_1_2.png,,,,,,,,,,,,,,
"Bouquet ""Tulip""-pink-25 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Pink Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",500.000000,,,,bouquet-pink-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/p/i/pink_tulip_1_3.png,,/p/i/pink_tulip_1_3.png,,/p/i/pink_tulip_1_3.png,,/p/i/pink_tulip_1_3.png,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=25 flowers,color=pink",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/i/pink_tulip_1_3.png,,,,,,,,,,,,,,
"Bouquet ""Tulip""-white-9 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""White Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",180.000000,,,,bouquet-white-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/w/h/white_tulip_1_1.jpeg,,/w/h/white_tulip_1_1.jpeg,,/w/h/white_tulip_1_1.jpeg,,/w/h/white_tulip_1_1.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=9 flowers,color=white",9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/w/h/white_tulip_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""-white-15 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""White Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",300.000000,,,,bouquet-white-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/w/h/white_tulip_1_2.jpeg,,/w/h/white_tulip_1_2.jpeg,,/w/h/white_tulip_1_2.jpeg,,/w/h/white_tulip_1_2.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=15 flowers,color=white",9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/w/h/white_tulip_1_2.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""-white-25 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""White Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",500.000000,,,,bouquet-white-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/w/h/white_tulip_1_3.jpeg,,/w/h/white_tulip_1_3.jpeg,,/w/h/white_tulip_1_3.jpeg,,/w/h/white_tulip_1_3.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=25 flowers,color=white",9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/w/h/white_tulip_1_3.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""-yellow-9 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Yellow Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",180.000000,,,,bouquet-yellow-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/y/e/yellow_tulip_1_1.jpeg,,/y/e/yellow_tulip_1_1.jpeg,,/y/e/yellow_tulip_1_1.jpeg,,/y/e/yellow_tulip_1_1.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=9 flowers,color=yellow",5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/y/e/yellow_tulip_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""-yellow-15 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Yellow Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",300.000000,,,,bouquet-yellow-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/y/e/yellow_tulip_1_2.jpeg,,/y/e/yellow_tulip_1_2.jpeg,,/y/e/yellow_tulip_1_2.jpeg,,/y/e/yellow_tulip_1_2.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=15 flowers,color=yellow",5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/y/e/yellow_tulip_1_2.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""-yellow-25 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Yellow Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",500.000000,,,,bouquet-yellow-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/y/e/yellow_tulip_1_3.jpeg,,/y/e/yellow_tulip_1_3.jpeg,,/y/e/yellow_tulip_1_3.jpeg,,/y/e/yellow_tulip_1_3.jpeg,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=25 flowers,color=yellow",5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/y/e/yellow_tulip_1_3.jpeg,,,,,,,,,,,,,,
"Bouquet ""Tulip""",,"One flower bouquets",configurable,"Default Category/Compositions",base,"Bouquet ""Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Catalog, Search",,,,,bouquet-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/p/i/pink_tulip.png,,/p/i/pink_tulip.png,,/p/i/pink_tulip.png,,/p/i/pink_tulip.png,,"7/19/21, 10:07 AM","7/19/21, 10:07 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/p/i/pink_tulip.png,/y/e/yellow_tulip.jpeg,/r/e/red_tulip.png,/c/o/colored_tulip.jpeg,/w/h/white_tulip.jpeg",",,,,",,,,,,,,,,,,"sku=Bouquet ""Tulip""-red-15 flowers,color=red,bouquet_size=15 flowers|sku=Bouquet ""Tulip""-red-9 flowers,color=red,bouquet_size=9 flowers|sku=Bouquet ""Tulip""-red-25 flowers,color=red,bouquet_size=25 flowers|sku=Bouquet ""Tulip""-pink-25 flowers,color=pink,bouquet_size=25 flowers|sku=Bouquet ""Tulip""-pink-15 flowers,color=pink,bouquet_size=15 flowers|sku=Bouquet ""Tulip""-pink-9 flowers,color=pink,bouquet_size=9 flowers|sku=Bouquet ""Tulip""-white-9 flowers,color=white,bouquet_size=9 flowers|sku=Bouquet ""Tulip""-white-25 flowers,color=white,bouquet_size=25 flowers|sku=Bouquet ""Tulip""-white-15 flowers,color=white,bouquet_size=15 flowers|sku=Bouquet ""Tulip""-yellow-25 flowers,color=yellow,bouquet_size=25 flowers|sku=Bouquet ""Tulip""-yellow-15 flowers,color=yellow,bouquet_size=15 flowers|sku=Bouquet ""Tulip""-yellow-9 flowers,color=yellow,bouquet_size=9 flowers","color=Color,bouquet_size=Bouquet size"
"Bouquets ""Mom and sister""",,Default,grouped,"Default Category/Compositions",base,"Bouquets ""Mom and sister""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nullam euismod lectus molestie vehicula dictum. Donec iaculis interdum nisi, eu rhoncus diam vehicula sed. Cras efficitur fringilla tortor, at sollicitudin ipsum rhoncus eget. Vivamus varius, dolor eget finibus euismod, odio ante tristique eros, sed auctor mauris quam non mauris. Nam dapibus, mi mollis fringilla sodales, justo sapien tempor dolor, vel condimentum lacus ex vel nibh. Donec a lectus nulla. Phasellus eget tellus in diam sollicitudin pellentesque et eu odio. Morbi tincidunt faucibus velit quis finibus. Cras laoreet porta aliquet. Vestibulum tincidunt ut metus in porttitor.</p>
<p>Donec dictum ipsum quis enim imperdiet fermentum maximus eu libero. Integer aliquet odio in leo tincidunt ullamcorper. Donec a commodo orci, eget iaculis libero. Sed bibendum faucibus felis, at vestibulum nisi blandit id. Integer semper felis ut enim dignissim, eu accumsan augue sodales. Maecenas ac consequat nulla, ut vulputate ante. Suspendisse potenti. Integer vitae nulla nisl. Pellentesque quis sapien felis. Duis augue arcu, pellentesque vel consequat a, posuere eget diam. Duis sollicitudin lacinia sem, in bibendum nisl pharetra tincidunt.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum.</p>",,1,,"Catalog, Search",,,,,bouquets-mom-and-sister,"Bouquets ""Mom and sister""","Bouquets ""Mom and sister""","Bouquets ""Mom and sister"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nullam bibendum felis sit amet libero auctor, in consectetur sapien fermentum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Nulla",/r/e/red_tulip_1.png,,/r/e/red_tulip_1.png,,/r/e/red_tulip_1.png,,,,"7/19/21, 10:21 AM","7/19/21, 10:21 AM",,,"Block after Info Column",,,,"Use config",,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/r/e/red_tulip_1.png,/p/i/pink_tulip_1.png",",",,,,,,,,,"Bouquet ""Tulip""-pink-15 flowers=0.000000,Bouquet ""Tulip""-red-15 flowers=0.000000",,,,
